,movie_name,movie_rating,movie_director,user_comment
0,Sadak 2 (2020),1.1,Mahesh Bhatt,"The story does not make sense, the action scenes do not make sense. Average performances. Not worth your time."
1,Sadak 2 (2020),1.1,Mahesh Bhatt,I started this movie because I was very curious to see if there is any thing good in this movie. i could not tolerate this movie beyond 20 minutes. So I would not be able to write too much about this movie. Lot of people say say Sadak was good movie but very few are aware that Sadak was copy of hit hollywood movie Taxi Driver. My advice would be not to waste your two hours and skip this movie.
2,Sadak 2 (2020),1.1,Mahesh Bhatt,"This is a total ridiculous movie with a worst plot and there wasn't even a minute that this movie could be enjoyed. No story, no character development nothing whatsoever.

The only plus point about this movie was it's soundtrack which was decent enough. My suggestion would be to skip this movie and rewatch some other comedy or drama movie..

My Rating : 0.5/5"
3,Sadak 2 (2020),1.1,Mahesh Bhatt,"Movie said to be sequel have no connection from first part , it's just a ploy to grab eyeball , story is nt clear and screenplay is uneven , mahesh bhatt returned to direction after 21 years to give such a disaster, Alia bhatt hamming in every scene Sanjay dutt doesn't look interested Aditya roy kapur is wasted he is no where in second half I think bhatt have lost their touch in past few years It will add up to their flop list

Better give it miss their many better stuff available on ott"
4,Sadak 2 (2020),1.1,Mahesh Bhatt,"Understand philosophically, Sadak 2 is the story of two broken characters coming together, who spiritually and mentally support each other.

The story is straightforward, but the screenplay has been so entangled that for some time one does not understand where the film is going.

The initial scenes of Sanjay Dutt and Aaliya confuse. However, later the picture starts to clear. However, by then the film is bored and runs on a very worn-out pattern.

sadak 2 movie review The writing of Pushpdeep Bhardwaj, Suhrata Sengupta, and Mahesh Bhatt was very weak. Dialogues are ineffective and outdated.

Even after half the film, nothing happens in the film. The film's villain changes with just a lot of twist and every twist that will haunt you after some time.

Arriving at Climax, the entire film piles up like a castle of cards. And you will never be disappointed with a film.

After the completion of 'Sadak 2' for about two and a half hours, the idea is that this is 'SadakChhap'.

The main character of the film is two - Alia Bhatt and Sanjay Dutt. Both have tried their best to portray their characters well.

But in some scenes where Sanjay Dutt is seen holding the character too much, Alia is seen leaving her character.

Aditya Roy Kapur done his parts as he could.

Talking about the supporting side, the best actors like Gulshan Grover, Mohan Kapoor were dealt cheaply.

The trailer of the film suggested that in the role of Baba, Makrand Deshpande would create an impact like Sadashiv Amrapurkar, who became the street queen, but his character was in fear Instead creates a sense of humor.

If any artist leaves an impact in the film, he is Jishu Sengupta. Jishu has played a negative role in the film and made scenes with his performance.

There is a balance in his acting. Actually, Jishu's character brings an exciting twist to the Sadak 2 story.

Mahesh Bhatt has come in 2020 with Sadak Part 2 and through which he has ended his exile under direction. However, this comeback is extremely disappointing and sad given Mahesh Bhatt's illustrious legacy.

To prove the film a sequel, an attempt has been made to randomly link the road.

For this, the street flashback scenes have been used so much in the film that you will feel bored. Pooja Bhatt is present only in scenes from her first film in the film.

This film is a high faded dish. You will enjoy everything while window shopping, but in the trial room you will just leave disappointed. So, if you believe us, you can leave this film comfortably."
5,Sadak 2 (2020),1.1,Mahesh Bhatt,"The real pandemic is watching Sadak 2. Storyline, Screenplay everything is so Disappointing. Pain in the head. Even actors in this film have failed to impress."
6,Sadak 2 (2020),1.1,Mahesh Bhatt,"Waste ! Waste ! Total Waste !! Aditya should act in better story movies otherwise quit acting. Alia is bad, Overacting on peak. Rajmouli garu should throw her out of RRR Jissu and Sanjay dutt are wasted."
7,Sadak 2 (2020),1.1,Mahesh Bhatt,"#FinalVerdict

The first question that crosses your mind after having watched Sadak 2 is, for whom has director Mahesh Bhatt made this film? Is it for the Indian audience - the upper strata, the commoners, the hoi polloi? Or is it targetted at the international audience?

Sadak 2 is neither novel nor experimental. It falls flat on its face! While bits and pieces of the first half are somewhat watchable, the film goes completely awry in its post-interval portions. A disaster of epic proportion! Seriously, what was Mahesh Bhatt and Suhrita Sengupta thinking while penning this apology of a script? Strangely, director Mahesh Bhatt's style is abstract this time around, which fails to catch the viewer's fancy. He seems completely clueless.

To sum up, there are good films and there are bad films. Sadak 2 is neither good nor bad. It's just excruciatingly boring! In addition, there are too many coincidences all through, which totally seem unreal and unbelievable. Sadak 2 is over two hours of complete drivel."
8,Sadak 2 (2020),1.1,Mahesh Bhatt,Just rubbish and third class movie. Acting is so poor and predictable. Waste of time and money.
9,Sadak 2 (2020),1.1,Mahesh Bhatt,I have nothing to say guys but you should watch Sadak 1 again instead of this or Should listen to Sadak 2 songs on youtube(Good thing about this movie)
