,0,1,2,3,4
aaaaayyyy,8.260403606624381e-08,7.208638024441031e-08,2.868302867791686e-05,2.8173410723814373e-07,2.2959234043217548e-07
aaahubali,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aaand,8.260403606624381e-08,7.280724404685442e-06,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aad,8.260403606624381e-08,7.280724404685442e-06,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aagan,8.260403606624381e-08,7.208638024441031e-08,2.8399038294967185e-07,2.8455144831052514e-05,2.2959234043217548e-07
aah,8.260403606624381e-08,7.280724404685442e-06,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahabuli,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aaho,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubai,8.260403606624381e-08,7.208638024441031e-08,2.8399038294967185e-07,2.8455144831052514e-05,2.2959234043217548e-07
aahubali,0.00155303848208145,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubaliana,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubalianit,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubalieople,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubalieview,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubaliheonclusion,1.6603411249315005e-05,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubalihis,8.260403606624381e-08,7.280724404685442e-06,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aahubalill,8.260403606624381e-08,7.208638024441031e-08,2.868302867791686e-05,2.8173410723814373e-07,2.2959234043217548e-07
aahubalirabhasevasenanushka,8.260403606624381e-08,7.208638024441031e-08,2.868302867791686e-05,2.8173410723814373e-07,2.2959234043217548e-07
aahuballious,8.343007642690625e-06,7.208638024441031e-08,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
aal,8.260403606624381e-08,7.280724404685442e-06,2.8399038294967185e-07,2.8173410723814373e-07,2.2959234043217548e-07
